OID_,Id,x_cord,y_cord
140,0,-95.4862664,29.86589491
141,0,-95.48330086,30.35118846
142,0,-95.4814281,29.64032638
143,0,-95.48010019,29.72477763
144,0,-95.47744997,30.3335368
145,0,-95.47144242,30.31542947
146,0,-95.47051213,30.31403423
147,0,-95.46708815,30.33594756
148,0,-95.46352668,29.59980572
149,0,-95.46314706,30.00708258
150,0,-95.46305937,29.64719013
151,0,-95.46134073,30.31256158
152,0,-95.46093645,29.50752617
153,0,-95.45972696,29.93750543
154,0,-95.45958923,29.72909233
155,0,-95.45939641,29.80129688
156,0,-95.45893378,29.70594259
157,0,-95.45841834,29.67989798
158,0,-95.45818576,29.67827021
159,0,-95.45772062,29.6805956
160,0,-95.45748805,30.27985087
161,0,-95.45735016,29.74088493
162,0,-95.4570229,30.27985087
163,0,-95.45609261,29.67920037
164,0,-95.45539489,30.28031595
165,0,-95.45537413,29.77339085
166,0,-95.4552986,29.76597407
167,0,-95.45423203,29.78105283
168,0,-95.45330173,29.78128537
169,0,-95.45076661,29.79474829
170,0,-95.4499016,29.76842872
171,0,-95.44978689,29.80152221
172,0,-95.44917291,29.26105982
173,0,-95.43537225,30.07481676
174,0,-95.43484238,30.10643119
175,0,-95.43423508,30.09279113
176,0,-95.4294955,29.77777112
177,0,-95.42877096,29.89801817
178,0,-95.42834498,29.77724684
179,0,-95.42833976,29.97387625
180,0,-95.42819227,30.02129923
181,0,-95.42684705,29.67760582
182,0,-95.42580531,29.59750757
183,0,-95.42399755,29.80174888
184,0,-95.42103318,29.76110481
185,0,-95.42073082,29.97445936
186,0,-95.4186402,29.96624514
187,0,-95.41568346,29.69174598
188,0,-95.41375238,30.09348706
189,0,-95.41302911,29.94015457
190,0,-95.41184606,29.86938296
191,0,-95.41164664,29.89825772
192,0,-95.41143862,29.81267825
193,0,-95.41135839,29.87618888
194,0,-95.41004318,29.78268061
195,0,-95.41004318,29.81337587
196,0,-95.40957803,29.77756473
197,0,-95.40957803,29.77895997
198,0,-95.40957803,29.81291079
199,0,-95.40934546,29.77640203
200,0,-95.40934546,29.77709965
201,0,-95.40930333,29.76811848
202,0,-95.40911289,29.78268061
203,0,-95.40863031,29.76148924
204,0,-95.40730244,29.64265729
205,0,-95.40713172,29.8696031
206,0,-95.404694,29.70617499
207,0,-95.40356592,30.02653986
208,0,-95.40353114,29.70664007
209,0,-95.40257713,29.67858133
210,0,-95.40227111,30.32330032
211,0,-95.4021357,29.70640753
212,0,-95.4021357,29.70803531
213,0,-95.40027512,29.6957107
214,0,-95.40004255,29.69547816
