,household_ID,x_cord,y_cord,road_ID,Distance,resident_count,departure_time,type
555,19448.0,-94.88619088022494,29.23739369062031,428.0,6699.136082315027,2,519,1
556,31744.0,-95.11842719316327,29.244985325427997,377.0,16622.930214445438,4,23,2
557,2278.0,-94.75339657084878,29.334238776543796,433.0,2309.00417854197,4,315,0
558,23698.0,-95.59838995098094,28.898514646899056,236.0,25380.32330772334,1,514,1
559,18115.0,-94.87653482815051,29.269984405642496,428.0,2553.794844077484,3,703,1
560,4229.0,-94.8104846257322,29.284557112299638,430.0,2825.6375092452454,1,18,0
561,32292.0,-95.1273448561253,29.24218274507561,377.0,17194.657345774696,2,9,1
562,27160.0,-96.04661806219877,28.65247369239274,3.0,70806.91408202791,7,454,0
563,16843.0,-94.84358051193995,29.270057045150654,430.0,2079.0288415739496,5,447,0
564,7866.0,-94.83580288832857,29.288385349636236,429.0,166.195227260401,4,254,1
565,11481.0,-94.76954175070176,29.310437678158955,436.0,491.7443825359558,5,239,1
566,17644.0,-94.8707602464001,29.26137598145487,428.0,3225.1708770109735,1,326,1
567,28491.0,-96.23676402270546,28.71015794977499,3.0,52884.93475854264,5,250,0
568,9192.0,-94.80593820985844,29.306494433822113,432.0,3646.0846392220324,3,43,2
569,3557.0,-94.79067304301398,29.296082254128216,432.0,2221.3289317655967,4,451,0
570,18482.0,-94.85623764942737,29.262695646999827,428.0,2975.645301770872,4,463,1
571,24767.0,-95.46202255393463,28.970538350280027,219.0,9235.628275583753,5,480,0
572,30276.0,-95.32903918692038,29.12147392086127,219.0,16320.80039381361,3,389,1
573,21866.0,-95.37807171807107,28.907005307415975,236.0,5015.361808664599,3,409,1
574,15145.0,-94.84487231447135,29.274075350953833,429.0,2038.3140839257683,1,529,1
575,5093.0,-94.81151706847139,29.288015529671764,429.0,2868.260843649546,1,670,2
576,3323.0,-94.78302269091543,29.296054374442445,434.0,1535.2413824243317,2,637,1
577,5980.0,-94.82971428789418,29.287657017232583,429.0,850.2420610476762,5,330,2
578,19237.0,-94.8842262197828,29.261589665883633,428.0,3925.084679624539,1,443,0
579,20279.0,-95.07863959560567,29.119085874189615,418.0,31435.913162069788,4,64,2
580,30770.0,-95.23803317325822,29.064854629622968,219.0,18448.080514241596,5,79,0
581,1785.0,-94.80322016203192,29.286128895030597,430.0,3502.9763979888858,6,442,2
582,14041.0,-94.82661708544076,29.265492331837088,430.0,201.04066085686236,1,298,1
583,16862.0,-94.84328303393531,29.26370808265701,430.0,2032.2351257316545,2,212,2
584,28565.0,-96.25940596332194,28.766026751682208,3.0,45437.59162195932,4,445,1
585,13791.0,-94.83025208589858,29.27483238969378,430.0,1185.1214878706899,1,524,1
586,9933.0,-94.7864613573814,29.302498369358897,432.0,1493.517547353735,3,472,1
587,15707.0,-94.84628422355286,29.273681527830746,429.0,2152.730037230113,2,717,1
588,10249.0,-94.7853170537281,29.308534210463677,432.0,1434.1737868731745,3,342,1
589,33224.0,-95.33964390664725,29.033965658835964,219.0,6627.2280079185,4,517,2
590,2079.0,-94.76576315095251,29.317512860030885,436.0,676.7375978149093,1,57,1
591,19138.0,-94.8682802718868,29.25260020132845,428.0,4251.795601865331,4,88,0
592,14976.0,-94.85118850128633,29.287303736468665,428.0,1225.9662351296397,3,154,0
593,30969.0,-95.32044496596967,29.152185306139742,172.0,19953.5424038986,4,84,1
594,18578.0,-94.86756536024436,29.256590809772405,428.0,3736.4699518012694,0,457,0
595,31507.0,-95.2556464625935,29.29928350152846,313.0,11675.666289129169,2,77,0
596,30457.0,-95.28890648717335,29.02547457566231,219.0,11421.604326689074,0,429,0
597,4242.0,-94.80327380223417,29.280998816942684,430.0,3066.944963607385,2,21,1
598,9645.0,-94.80687759521904,29.297522375614317,429.0,3569.9883985757792,2,632,0
599,13925.0,-94.82994797203894,29.267191981324626,430.0,519.6169648806286,3,443,1
600,11705.0,-94.77323580101647,29.321408178923008,433.0,821.7518056900843,2,493,1
601,15658.0,-94.84516069703375,29.2760478045686,429.0,1827.503442414286,3,272,2
602,3277.0,-94.78852208366001,29.297756436182304,432.0,1909.293883289689,0,204,1
603,12835.0,-94.8291483025528,29.2687218113616,430.0,504.1120372388854,3,199,1
604,11826.0,-94.77263630492175,29.312895303465698,436.0,289.57393330029765,1,685,0
605,10357.0,-94.77577153126451,29.30549260251626,432.0,303.09089355072354,3,601,2
606,33279.0,-95.33798580977056,29.0066586133728,219.0,5645.600353695319,5,580,1
607,7548.0,-94.82047576108572,29.281296831613126,430.0,1952.155107295542,1,709,1
608,10677.0,-94.78660248450916,29.307483497890356,432.0,1531.0180335089194,0,613,0
609,32448.0,-95.34806905927161,29.050732176726495,219.0,7430.014584080624,4,313,0
610,16253.0,-94.86527070817418,29.282268830807684,428.0,546.91801063973,3,567,1
611,6964.0,-94.82711347380551,29.282338285943524,429.0,1385.4085237203592,4,146,0
612,3879.0,-94.78269180187043,29.301673576625298,432.0,1113.6522184046955,2,719,2
613,20848.0,-94.54851822351287,29.521752826613618,431.0,32778.36035445389,0,387,1
614,15570.0,-94.8368696799493,29.286174915434103,429.0,313.5817553961667,5,128,0
615,20098.0,-94.96523067763418,29.19474841718024,428.0,16309.500523490135,1,689,1
616,28824.0,-96.2058766859462,28.77097571987184,3.0,48057.27155103874,5,711,1
617,16731.0,-94.84409209620605,29.265728574607344,430.0,2091.511202103063,1,319,0
618,18934.0,-94.85554092238121,29.270387063440275,428.0,2054.1128882982393,2,662,2
619,19968.0,-95.06268299099543,29.12618368159225,418.0,29762.23551415999,2,48,2
620,16722.0,-94.84595594411374,29.258949908336398,430.0,2494.832261416012,0,130,0
621,148.0,-94.78868182028721,29.29280435409118,432.0,2281.808131071394,2,93,1
622,13942.0,-94.83537138258184,29.264951717031952,430.0,1137.344958188576,3,531,0
623,10430.0,-94.77586708775623,29.309343510849924,432.0,674.0314156020019,3,329,2
624,8489.0,-94.7909231654301,29.305229473006516,432.0,1968.16045613295,3,565,1
625,21879.0,-95.42993100397744,28.86221913371232,236.0,12218.718807879128,2,333,1
626,31348.0,-95.38768099127542,29.12468003813119,219.0,15320.558981614033,4,629,1
627,26007.0,-95.91169665182427,28.827314922138335,236.0,61411.564817376995,4,222,0
628,20928.0,-94.37142482989854,29.580269867516492,441.0,31473.904247139944,0,98,0
629,5710.0,-94.82252449755022,29.291114828242304,429.0,1672.8541500740587,3,483,0
630,5122.0,-94.81206307438254,29.292071633733602,429.0,2841.1280763592204,1,678,0
631,23708.0,-95.45248429524844,28.911263973681283,236.0,9512.76407046366,3,430,2
632,2045.0,-94.75493588798703,29.320313651474336,436.0,1901.0499849864232,2,409,2
633,27039.0,-95.87530884793536,28.7232177828663,236.0,62296.416943754535,3,478,1
634,32072.0,-95.25258539217742,29.26280600778269,313.0,16320.502519855987,0,333,2
635,28594.0,-96.06525465481357,28.671732161115248,3.0,67601.79105286743,4,15,1
636,6760.0,-94.81694896719542,29.282745253039625,430.0,2262.0946712381883,1,312,2
637,1510.0,-94.80193456506251,29.288633285429565,432.0,3785.859205861242,3,437,0
